section,file,category,date,title,speaker,location,summary,url
Dhamma Talks,Pre-1996/LP_Sumedho_06_27_1991_The_Perfection_of_Intention.mp3,Pre-1996,1991-27-06,The Perfection of Intention,Luang Por Sumedho,"City of 10,000 Buddhas","From a cool, rational place we make the perfect intention to be free from all delusion",
Dhamma Talks,Pre-1996/AA_05_19_1993_The_Fire_Sermon.mp3,Pre-1996,1993-19-05,The Fire Sermon,Ajahn Amaro,"Sanghapala Wednesday night group @ St. Aidan's Episcopal Church, San Francisco",The painful result of clinging to sense experience,
Dhamma Talks,"Pre-1996/AA_06_04_1993_Sex,_Violence_and_the_State_of_Grace.mp3",Pre-1996,1993-04-06,"Sex, Violence and the State of Grace",Ajahn Amaro,"Sanghapala Retreat @ City of 10,000 Buddhas","The powerful energies of sexual desire, and aggressiveness",
Dhamma Talks,1996-2006/1996/Aj_Thanasanti_11_28_1996_Pilgrimage_as_Practice.mp3,1996,1996-28-11,A Pilgrimage as Practice,Ajahn Thanasanti,Thanksgiving Monastic Retreat @ Angela Center,Talk on applying skillful means to challenges faced while on pilgrimage.,
Dhamma Talks,1996-2006/1997/AA_04_19_1997_Mara's_Temptations.mp3,1997,1997-19-04,Mara's Temptations,Ajahn Amaro,Abhayagiri,The story of Mara's temptations,
Dhamma Talks,1996-2006/1997/AA_08_25_1997_Desire_&_Tanha_(Craving).mp3,1997,1997-25-08,Desire and Tanha (Craving),Ajahn Amaro,Abhayagiri,Wholesome desires and intention are necessary in practice,
Dhamma Talks,1996-2006/1998/AA_05_16_1998_Here_or_Gone.mp3,1998,1998-16-05,Here or Gone,Ajahn Amaro,Talk @ Sonoma Mtn Zen Center,Similarities in different Buddhist tradtitions,
Dhamma Talks,1996-2006/1998/Aj_Brahm_09_??_1998_Even_the_Mind_Ends.mp3,1998,1998-??-09,Even the Mind Ends,Ajahn Brahm,Abhayagiri,"Penetrating anicca, dukkha, anatta to the end",
Dhamma Talks,1996-2006/1999/AP_1999_On_Turning_50.mp3,1999,1999-??-??,On Turning 50,Luang Por Pasanno,Abhayagiri,Two realities: conventional and transcendent,
Dhamma Talks,1996-2006/1999/AA_09_??_1999_Off_the_Wheel.mp3,1999,1999-??-09,Off the Wheel,Ajahn Amaro,Abhayagiri,What the Buddha didn't say about rebirth,
Dhamma Talks,1996-2006/2000/AA - Cultivating Spiritual Friendship 4-4-00.mp3,2000,2000-04-04,Cultivating Spritual Friendship,Ajahn Amaro,"City of 10,000 Buddhas",The internal and external aspects of Sangha,
Dhamma Talks,1996-2006/2000/AP-Dependent Origination_ 2 2000-09-02.mp3,2000,2000-02-09,Dependent Origination (Part 2),Luang Por Pasanno,Abhayagiri,The chain of causes and conditions leading to dukkha or freedom,
Dhamma Talks,1996-2006/2000/AP-Dependent Origination_ 3 2000-09-02.mp3,2000,2000-02-09,Dependent Origination (Part 3),Luang Por Pasanno,Abhayagiri,The chain of causes and conditions leading to dukkha or freedom,
Dhamma Talks,1996-2006/2001/AA - Investigating GW Bush Mind 1-17-2001.MP3,2001,2001-17-01,Investigating GW Bush Mind,Ajahn Amaro,Abhayagiri,Investigation is a natural attribute of the mind,
Dhamma Talks,1996-2006/2001/10 The Way Things Should Be The Mantra of Ignorance 2001.mp3,2001,2001-20-03,The Way Things Should Be: The Mantra of Ignorance,Ajahn Sundara,Abhayagiri,Compassionate endurance for the many faces of self,
Dhamma Talks,1996-2006/2001/We are in the world.mp3,2001,2001-12-09,We are in the World,Ajahn Visuddhi,Abhayagiri,,
Dhamma Talks,1996-2006/2002/AA_05_16_2002_Movement_and_Stillness.mp3,2002,2002-16-05,Movement and Stillness,Ajahn Amaro,"Introduction to Meditation @ Yoga Mendicino, Ukiah, California",The stillness of stability is training the heart to rest in awareness,http://www.abhayagiri.org/audio/movement-and-stillness
Dhamma Talks,1996-2006/2002/Aj_Sucitto_06_29_2002_And_Then.mp3,2002,2002-29-06,And Then...,Ajahn Sucitto,Abhayagiri,"For contemplatives, our occupation is to generate space",
Dhamma Talks,1996-2006/2002/AP_07_13_2002_Allowing Time_to_be_Present.mp3,2002,2002-13-07,Allowing Time to be Present,Luang Por Pasanno,Abhayagiri,No time to meditate is a perception,
Dhamma Talks,1996-2006/2002/Aj_Jutindriya_2002_Suffering.mp3,2002,2002-??-??,Suffering,Ajahn Jitindriya,Abhayagiri,"Reflecting on dukkha, its cause and cessation",
Dhamma Talks,1996-2006/2002/AP_2002_R_E_S_P_E_C_T.mp3,2002,2002-??-??,R_E_S_P_E_C_T,Luang Por Pasanno,Abhayagiri,Respect and reverence towards the cultivation of wholesome dhammas is standing in the presence of nibbana,
Dhamma Talks,1996-2006/2003/A_Amaro_basis_tlk.mp3,2003,2003-19-11,The Basis of Compassion,Ajahn Amaro,Abhayagiri,Core practices for cultivating compassion,http://www.abhayagiri.org/audio/the-basis-of-compassion
Dhamma Talks,1996-2006/2003/A_Amaro_obstacles_tlk.mp3,2003,2003-27-11,Obstacles to Compassion,Ajahn Amaro,"Compassion in Action Class @ Yoga Mendocino, Ukiah, CA",Misguided idealism and other obstaces to compassion,http://www.abhayagiri.org/audio/obstacles-to-compassion
Dhamma Talks,1996-2006/2004/A_Pasanno_SwimminginShark-infestedWaters.mp3,2004,2004-12-06,Swimming in Shark-Infested Waters,Luang Por Pasanno,Abhayagiri,,http://www.abhayagiri.org/audio/swimming-in-shark-infested-waters
Dhamma Talks,1996-2006/2005/AJ_JAYASARO_Inside_and_Out.mp3,2005,2004-17-10,Inside and Out,Ajahn Jayasaro,Abhayagiri,Abandonment of the hindrances is the first step to realization of the Dhamma,http://www.abhayagiri.org/audio/inside-and-out
Dhamma Talks,1996-2006/2005/The World of Feelings.mp3,2005,2005-06-08,The World of Feelings,Ajahn Amaro,Abhayagiri,Step outside the content of thought and feeling and look at the process,http://www.abhayagiri.org/audio/the-world-of-feelings
Dhamma Talks,1996-2006/2005/AP - The Present - The Window to the Knowing.mp3,2005,2005-24-08,The Present - The Window to the Knowing,Luang Por Pasanno,Abhayagiri,Use the mind's ingenuity to not be trapped by attachment,http://www.abhayagiri.org/audio/the-present-the-window-to-the-knowing
Dhamma Talks,1996-2006/2005/Accepting the Unbearable.mp3,2005,2005-01-10,Accepting the Unbearable,Ajahn Amaro,Abhayagiri,"How to deal with the ""anger-eating"" goblins that arise in our minds",http://www.abhayagiri.org/audio/accepting-the-unbearable
Dhamma Talks,1996-2006/2005/well_of_the_buddhas_teachings_24kbs.MP3,2005,2005-16-12,The Well of the Buddha's Teachings,Luang Por Pasanno,Abhayagiri,Sustain and rejuvenate your practice with the well of the Buddha's teachings,http://www.abhayagiri.org/audio/the-well-of-the-buddhas-teachings
Dhamma Talks,1996-2006/2006/Contentment_24kbs.MP3,2006,2006-21-02,Contentment,Ajahn Amaro,Abhayagiri,The foundation of renunciation is contentment and gratitude,http://www.abhayagiri.org/audio/contentment
